fold,subfold,words,segments,pos_tags
2,B,['0.7' 'ديال' 'المغربيات' 'لي' 'خدامات' 'ماعندهومش' 'الديبلومات' 'EOS'],"['0.7' 'ديال' 'ال+مغربي+ات' 'لي' 'خدام+ات' 'ما+عند+هوم+ش' 'ال+ديبلوم+ات'
 'EOS']","['NUM' 'PREP' 'DET+NOUN+NSUFF' 'PART' 'V+PRON' 'PART+NOUN+PRON+NEG_PART'
 'DET+NOUN+NSUFF' 'EOS']"
3,B,"['أخر' 'موسم' 'رح' 'اتابعه' '🔥' '💕' 'بكفيني' 'حنان' 'هاد' 'الموسم' '❤'
 'وايلي' 'ايليا' 'الموسم' 'اللي' 'فات' '💕' 'عدم' 'المصداقية' 'والمسخرة'
 '😂' '✋' '#StaracArabia' '#ha' '…' 'EOS']","['أخر' 'موسم' 'رح' 'اتابع+ه' '🔥' '💕' 'ب+كفي+ني' 'حنان' 'هاد' 'ال+موسم' '❤'
 'وايلي' 'ايليا' 'ال+موسم' 'اللي' 'فات' '💕' 'عدم' 'ال+مصداقي+ة'
 'و+ال+مسخر+ة' '😂' '✋' '#StaracArabia' '#ha' '…' 'EOS']","['NOUN' 'NOUN' 'PART' 'V+PRON' 'EMOT' 'EMOT' 'PROG_PART+V+PRON' 'NOUN'
 'PRON' 'DET+NOUN' 'EMOT' 'PART' 'NOUN' 'DET+NOUN' 'PART' 'V' 'EMOT'
 'NOUN' 'DET+NOUN+NSUFF' 'CONJ+DET+NOUN+NSUFF' 'EMOT' 'EMOT' 'HASH' 'HASH'
 'PUNC' 'EOS']"
1,B,"['#كلاسيكيات_الابتدائي' '-' 'أستاد' 'الدليمي' 'مات' 'شكون' 'قتلو' '؟' '-'
 'غدّا' 'جيب' 'بّاك' 'عاد' 'تدخل' '😒' 'EOS']","['#كلاسيكيات_الابتدائي' '-' 'أستاد' 'ال+دليمي' 'مات' 'شكون' 'قتل+و' '؟'
 '-' 'غد+ا' 'جيب' 'با+ك' 'عاد' 'تدخل' '😒' 'EOS']","['HASH' 'PUNC' 'NOUN' 'DET+NOUN' 'V' 'PART' 'V+PRON' 'PUNC' 'PUNC'
 'NOUN+CASE' 'V' 'NOUN+PRON' 'PART' 'V' 'EMOT' 'EOS']"
4,B,"['@ZahoSghir' 'أصلا' 'كان' 'باين' 'ان' 'الهجمات' 'غادي' 'تاثر' 'على'
 'الانتخابات' 'والعنصرية' 'في' 'كل' 'اروبا' 'EOS']","['@ZahoSghir' 'أصل+ا' 'كان' 'باين' 'ان' 'ال+هجم+ات' 'غادي' 'تاثر' 'على'
 'ال+انتخاب+ات' 'و+ال+عنصري+ة' 'في' 'كل' 'اروبا' 'EOS']","['MENTION' 'NOUN+CASE' 'V' 'ADJ' 'PART' 'DET+NOUN+NSUFF' 'PART' 'V' 'PREP'
 'DET+NOUN+NSUFF' 'CONJ+DET+NOUN+NSUFF' 'PREP' 'NOUN' 'NOUN' 'EOS']"
5,A,"['أنا' 'مانسيتش' 'بلي' 'أنيس' 'صوت' 'ضد' 'سوكا' 'وبلي' 'هدر' 'على' 'سوها'
 'مي' 'راه' 'ولد' 'مغرب' 'لعربي' 'يا' 'صوتو' 'يا' 'سكتو' 'ماشي' 'توقفو'
 'ضدو' '#المغرب_مع_انيس' '…' 'EOS']","['أنا' 'ما+نسيت+ش' 'بلي' 'أنيس' 'صوت' 'ضد' 'سوكا' 'و+ب+لي' 'هدر' 'على'
 'سوها' 'مي' 'را+ه' 'ولد' 'مغرب' 'ل+عربي' 'يا' 'صوت+و' 'يا' 'سكت+و' 'ماشي'
 'توقف+و' 'ضد+و' '#المغرب_مع_انيس' '…' 'EOS']","['PRON' 'PART+V+NEG_PART' 'ADV' 'NOUN' 'V' 'NOUN' 'NOUN' 'CONJ+PREP+PART'
 'V' 'PREP' 'NOUN' 'PART' 'V+PRON' 'NOUN' 'NOUN' 'DET+ADJ' 'PART' 'V+PRON'
 'PART' 'V+PRON' 'PART' 'V+PRON' 'NOUN+PRON' 'HASH' 'PUNC' 'EOS']"
4,A,"['-' 'إلا' 'كنتي' 'راجل' 'هبط' '-' 'أنا' 'راجل' 'و' 'لكن' 'موحال' 'واش'
 'مراتي' 'تخليني' 'نهبط' 'فهاد' 'الساعة' '😒' 'EOS']","['-' 'إلا' 'كنت+ي' 'راجل' 'هبط' '-' 'أنا' 'راجل' 'و' 'لكن' 'موحال' 'واش'
 'مرا+ت+ي' 'تخلي+ني' 'نهبط' 'ف+هاد' 'ال+ساع+ة' '😒' 'EOS']","['PUNC' 'PART' 'V+PRON' 'NOUN' 'V' 'PUNC' 'PRON' 'NOUN' 'CONJ' 'PART'
 'NOUN' 'PART' 'NOUN+NSUFF+PRON' 'V+PRON' 'V' 'PREP+PRON' 'DET+NOUN+NSUFF'
 'EMOT' 'EOS']"
4,A,"['احب' 'ريحه' 'اقلام' 'السبوره' 'يخي' 'كذا' 'فيها' 'شي' 'اخخ' 'بس' 'جمال'
 'EOS']","['احب' 'ريح+ه' 'اقلام' 'ال+سبور+ه' 'يخي' 'كذا' 'في+ها' 'شي' 'اخخ' 'بس'
 'جمال' 'EOS']","['V' 'NOUN+NSUFF' 'NOUN' 'DET+NOUN+NSUFF' 'PART' 'PRON' 'PREP+PRON' 'NOUN'
 'NOUN' 'ADV' 'NOUN' 'EOS']"
3,B,"['#HananeElKhader' 'احلى' 'ربورتاج' 'فهاد' 'الموسم' 'هو' 'ربورناج' 'حنان'
 'فباريس' 'شكون' 'متافق' 'انها' 'سلطاانة' 'الموسم' 'بامتياز' 'EOS']","['#HananeElKhader' 'احلى' 'ربورتاج' 'ف+هاد' 'ال+موسم' 'هو' 'ربورناج'
 'حنان' 'ف+باريس' 'شكون' 'متافق' 'ان+ها' 'سلطاان+ة' 'ال+موسم' 'ب+امتياز'
 'EOS']","['HASH' 'ADJ' 'NOUN' 'PREP+PRON' 'DET+NOUN' 'PRON' 'NOUN' 'NOUN'
 'PREP+NOUN' 'PART' 'ADJ' 'PART+PRON' 'NOUN+NSUFF' 'DET+NOUN' 'PREP+NOUN'
 'EOS']"
3,A,"['#AnisBourahla' '#IhabAmir' 'احنا' 'ولادنا' 'اعطاوهم' 'رحلة' 'لمصر'
 'والأردن' 'وبعتو' 'معم' 'LES' 'GARDES' 'بسباس' 'والمهرج' 'باش' 'يعسوهم'
 'تفوه' 'EOS']","['#AnisBourahla' '#IhabAmir' 'احنا' 'ولاد+نا' 'اعطا+و+هم' 'رحل+ة' 'ل+مصر'
 'و+ال+أردن' 'و+بعت+و' 'مع+م' 'LES' 'GARDES' 'بسباس' 'و+ال+مهرج' 'باش'
 'يعس+و+هم' 'تفوه' 'EOS']","['HASH' 'HASH' 'PRON' 'NOUN+PRON' 'V+PRON+PRON' 'NOUN+NSUFF' 'PREP+NOUN'
 'CONJ+DET+NOUN' 'CONJ+V+PRON' 'CONJ+PRON' 'FOREIGN' 'FOREIGN' 'NOUN'
 'CONJ+DET+NOUN' 'PART' 'V+PRON+PRON' 'V' 'EOS']"
2,A,"['اخذي' 'من' 'الي' 'كان' 'بغيك' 'بزاف' 'نموت' 'عليك' '•' 'ابرك' 'من'
 'وجهين' 'واي' 'وانتا' '👏' '👏' 'EOS']","['اخذ+ي' 'من' 'الي' 'كان' 'بغي+ك' 'بزاف' 'نموت' 'علي+ك' '•' 'ابرك' 'من'
 'وجه+ين' 'و+اي' 'و+انتا' '👏' '👏' 'EOS']","['V+PRON' 'PREP' 'PART' 'V' 'V+PRON' 'ADV' 'V' 'PREP+PRON' 'PUNC' 'V'
 'PREP' 'NOUN+NSUFF' 'CONJ+PRON' 'CONJ+PRON' 'EMOT' 'EMOT' 'EOS']"
