dialect,sentence_id,token_index,word,morphological_segment,pos_tag
Gulf,2B_0,1,@tagimlm77,@tagimlm77,MENTION
Gulf,2B_1,2,@444Tf,@444Tf,MENTION
Gulf,2B_2,3,هو,هو,PRON
Gulf,2B_3,4,ثعلب,ثعلب,NOUN
Gulf,2B_4,5,مكار,مكار,ADJ
Gulf,2B_5,6,بعد,بعد,NOUN
Gulf,2B_6,7,شوي,شوي,ADJ
Gulf,2B_7,8,بيقولها,ب+يقول+ها,PROG_PART+V+PRON
Gulf,2B_8,9,اتحداك,اتحدا+ك,V+PRON
Gulf,2B_9,10,تسوين,تسو+ين,V+PRON
Gulf,2B_10,11,احلا,احلا,ADJ
Gulf,2B_11,12,منه,من+ه,PREP+PRON
Gulf,2B_12,13,عشان,عشان,PART
Gulf,2B_13,14,تسوي,تسوي,V
Gulf,2B_14,15,?,?,PUNC
Gulf,2B_15,16,?,?,PUNC
Gulf,2B_16,17,?,?,PUNC
Gulf,2B_17,18,?,?,PUNC
Gulf,3B_18,1,صدز,صدز,NOUN
Gulf,3B_19,2,لاقال,لا+قال,PART+V
Gulf,3B_20,3,ان,ان,PART
Gulf,3B_21,4,ريحة,ريح+ة,NOUN+NSUFF
Gulf,3B_22,5,العود,ال+عود,DET+NOUN
Gulf,3B_23,6,تنعنش,تنعنش,V
Gulf,3B_24,7,وياهي,و+يا+هي,CONJ+PART+PRON
Gulf,3B_25,8,تخلي,تخلي,V
Gulf,3B_26,9,البال,ال+بال,DET+NOUN
Gulf,3B_27,10,رايق,رايق,ADJ
Gulf,3B_28,11,رجعت,رجع+ت,V+PRON
Gulf,3B_29,12,من,من,PREP
Gulf,3B_30,13,الجامعه,ال+جامع+ه,DET+NOUN+NSUFF
Gulf,3B_31,14,والقى,و+القى,CONJ+V
Gulf,3B_32,15,اميمتي,اميم+ت+ي,NOUN+NSUFF+PRON
Gulf,3B_33,16,مبخرة,مبخر+ة,ADJ+PRON
Gulf,3B_34,17,البيت,ال+بيت,DET+NOUN
Gulf,3B_35,18,.,.,PUNC
Gulf,3B_36,19,<,<,PUNC
Gulf,3B_37,20,<,<,PUNC
Gulf,3B_38,21,اهل,اهل,NOUN
Gulf,3B_39,22,الجنون,ال+جنون,DET+NOUN
