MODERN-STANDARD-ARABIC,ALGIERS,ANNABA,SYRIAN,PALESTINIAN
tEAlt >SwAt AlnAs bAlbkA'،  bd>t >tHdv bAnfEAl w k>nny >hdy fy AlnAs,EAdw AlnAs ytbAkAw bdyt nhdr mn qlby tqwl nhdy fAlnAs,EAdwA AlnAs ytbAkAw bdyt nhdr bg$ w qwl ElyA nhdy fy AlnAs,Ely Swt AlnAs bAlbky w bl~$t >Hky bESbyp w k>ny Em Ahdy bAlnAs,SArwA AlnAs ySyHwA bSwt EAly wbdyt AHky wAnA mnfEl wk>ny bhdy fy AlnAs
fbkyt،  skt AlnAs jmyEA w >nA *hlt mn nfsy ، k>ny fy Hlm,bkyt AlnAs kAml sktw txlEt fy rwHy tqwl knt nnwm,bkyt AlnAs kl sktwA t$wkyt fy rwHy qwl ElyA nHlm,fbkyt sktt AlEAlm klA w >nA Astgrbt mn HAly w k>ny bmnAm,Srt AEyT wAlnAs sktwA klhm w >nA Srt m*hwl mn HAly k>ny bHlm
qAm AljmyE yslmwn Ely w ytHdvwn mEy ، nSfh bkA' w nSfh Al|xr lm >fhmh,nADw qﺎE slmw ElyA w yhdrw mEAyA nS bkA w nS lAxr mA fhmtw$,nADwA kl slmwA ElyA w yhdrwA mEAyA nSh bkA w nSh lwxr mA fhmtw$,fbkyt sktt AlEAlm klA w >nA Astgrbt mn HAly w k>ny bmnAm,qAmwA klhm yslmwA ElyA w byHkwA mEy nSh EyAT w nSh AltAny mA fhmtw$
dEynA llE$A' w kAn AlE$A' ykfy jmyE AlmdEwyn,ErDwnA llE$A w kAn lE$A ykfy lyzAﻧfyty qﺎE,ErDwnA llE$A w kAn AlE$A ykfy lyzAﻧfyty kl,qAmwA kl~wn ysl~mwA Elyy w yHAkwny nSw bky w nSw klAm mA fhmt mnw $y,qAmwA klhm yslmwA ElyA w byHkwA mEy nSh EyAT w nSh AltAny mA fhmtw$
ﺃmDyt ﺃyAmA jmylp ln >nsAhA TwAl Emry,jwzt AyAmAt rwEp mA nnsAhA$ Twl HyAty,Eqbt AyAmAt ElY Alkyf mA nnsAhA$ Twl Emry,AnEzmnA EAlE$A w kAn AlE$A bykfy kl AlmEAzym,AnEzmnA EAlE$A' w kAn AlE$A' bkfy lkl AlmEzwmyn
>nhyt drAsty fy AlmEhd bm$qp,kmlt qrAyty fy lAfAk bAlsyf,Eqbt AyAmAt ElY Alkyf mA nnsAhA$ Twl Emry,mDyt >yAm Hlwp bEmry mA bnsAhA,qDyt >yAm jmylp m$ HAnsAhA Twl Emry
flm >kn jAdA fy drAsty,kmlt qrAyty fy lAfAk bAlsyf,kmlt qrAyty fy lAfAk bAlsyf,xlSt drAsty bAlmEhd bTlwE AlrwH,xlSt drAsty fy AlmEhd bSEwbp
flm >kn jAdA fy drAsty,mA knt$ syryw fy qrAyty,mA knt$ syryw fy qrAyty,HAkm >nA mA knt jdy bdrAsty,wmA knt$ Adrs bjdyp
A$tglt fy >Hd Almst$fyAt Alqrybp mn byty،  AlHmd llh f>mwry mtysrp w >Ey$ mE wAldy,xdmt fy wHd AlsbyTAr qryb mn dArnA AlHmdw llh rAny lAbAs w EAy$ mE bAbA,xdmt fy wHd AlsbyTAr qﺮyb mn dArnA AlHmd llh >mwry mlyHp w EAy$ mE bAbA,A$tglt bm$fY qryb mn byty AlHmd llh >mwry mysrp w EAy$ mE >hly,<$tglt fy wAHd mn Almst$fyAt Alqrybp mn byty AlHmd llh >mwry mtysrp w bEy$ mE >bwy
qrrt >n >jmE mhr zwjty،  kAn AlEml ysyr b$kl jdy w mnZm xASp >n Emly fy mst$fY Eskry,dysydyt bA$ nTm SdAq mrty kAnt Alxdmp tm$y trybyAn w >wrqﺎnyzy syrtw xdmty kAnt fy AlsbyTAr mylytAr,dysydyt bAh nlm Al$rT lmrty kAnt Alxdmp tm$y ElY Alkyf w >wrqﺎnyzy syrtw Alxdmp tyEy kAnt fy sbyTAr mylytAr,qrrt >jmE mhr lmrty w kAn Al$gl mA$y mnyH w mrtb w xASp >nw $gly kAn bm$fY Eskry,qrrt Any >Hw$ mhr lmrty kAn Al$gl mA$y bjdyp w mrtb xASp Anh $gly fy mst$fY Eskry
