dialect,sentence_id,sentence,segmented,pos_sequence,token_count
Levantine,2B,قاعد عم حاكي حالي بالأحرى صاير مجنون تويتر يا شاغل بالي راسي بي هالتلفون #AKpoems,قاعد عم حاكي حال+ي ب+ال+أحرى صاير مجنون تويتر يا شاغل بال+ي راس+ي بي ه+ال+تلفون #AKpoems,ADJ PART V NOUN+PRON PREP+DET+ADJ ADJ ADJ NOUN PART NOUN NOUN+PRON NOUN+PRON PROG_PART PRON+DET+NOUN HASH,15
Levantine,3B,@Nadahalawi لا خلص بنحكيلو هادي ألعاب نارية فرحانين فيك 0 0 ! !,@Nadahalawi لا خلص ب+نحكي+ل+و هادي ألعاب ناري+ة فرحان+ين في+ك 0 0 ! !,MENTION PART NOUN FUT_PART+V+PREP+PRON PRON NOUN ADJ+NSUFF ADJ+NSUFF PREP+PRON PUNC PUNC PUNC PUNC,13
Levantine,1B,طالعوا بس شوفوا الجمال بالله بالله فيه احد يتجرء يزعلها بكلمه او ينتقدها ( مجنونه انا في حبها ) @najwakaram http://t.co/8Mj3TU1ARn,طالع+وا بس شوف+وا ال+جمال ب+الله ب+الله فيه احد يتجرء يزعل+ها ب+كلم+ه او ينتقد+ها ( مجنون+ه انا في حب+ها ) @najwakaram http://t.co/8Mj3TU1ARn,V+PRON ADV V+PRON DET+NOUN PREP+NOUN PREP+NOUN ADV NOUN V V+PRON PREP+NOUN+NSUFF CONJ V+PRON PUNC ADJ+NSUFF PRON PREP NOUN+PRON PUNC MENTION URL,21
Levantine,4B,#كيف_تغتال_زوجتك قلها شوفي لي السيارة من ورا ولما تنزل ارجع عليها وادعسها,#كيف_تغتال_زوجتك قل+ها شوف+ي ل+ي ال+سيار+ة من ورا و+لما تنزل ارجع علي+ها و+ادعس+ها,HASH V+PRON V+PRON PREP+PRON DET+NOUN+NSUFF PREP NOUN CONJ+PART V V PREP+PRON CONJ+V+PRON,12
Levantine,5A,صباح الخير والحمدالله عالسلامة لالكل 0 0 0 بموضوع التفجيرات فادي بيحب انو الصحافيين يظهروا الحقيقة متل ما هي لأنو هيدا 0 0 0 http://t.co/VbYJPy2PLU,صباح ال+خير و+ال+حمدالله ع+ال+سلام+ة ل+ال+كل 0 0 0 ب+موضوع ال+تفجير+ات فادي ب+يحب ان+و ال+صحافي+ين يظهر+وا ال+حقيق+ة متل ما هي ل+أن+و هيدا 0 0 0 http://t.co/VbYJPy2PLU,NOUN DET+NOUN CONJ+DET+NOUN PREP+DET+NOUN+NSUFF PREP+DET+NOUN PUNC PUNC PUNC PREP+NOUN DET+NOUN+NSUFF NOUN PROG_PART+V PART+PRON DET+NOUN+NSUFF V+PRON DET+NOUN+NSUFF NOUN PART PRON PREP+PART+PRON PRON PUNC PUNC PUNC URL,25
Levantine,4A,قال لي جبتي هدية لأمك ؟ - أكيد كنت بدي قلك تجيبيلا السنة شي أكيد ما عندا منو - شو ؟ * ظبط قعدتو و ضحك قبل ما يقول * صهررررر Loool,قال ل+ي جب+ت+ي هدي+ة ل+أم+ك ؟ - أكيد كن+ت بد+ي قل+ك تجيب+ي+ل+ا ال+سن+ة شي أكيد ما عند+ا من+و - شو ؟ * ظبط قعد+ت+و و ضحك قبل ما يقول * صهررررر Loool,V PREP+PRON V+PRON+PRON NOUN+NSUFF PREP+NOUN+PRON PUNC PUNC ADJ V+PRON NOUN+PRON V+PRON V+PRON+PREP+PRON DET+NOUN+NSUFF NOUN ADJ PART NOUN+PRON PREP+PRON PUNC PART PUNC PUNC V NOUN+NSUFF+PRON CONJ V NOUN PART V PUNC NOUN FOREIGN,32
Levantine,4A,في ناس وظيفتها في الحياة سد النفس o_O أيوااااااه بالزبط متل إلي خطر ع بالك هلأ :-\\,في ناس وظيف+ت+ها في ال+حيا+ة سد ال+نفس o_O أيوااااااه ب+ال+زبط متل إلي خطر ع بال+ك هلأ :-\\,ADV NOUN NOUN+NSUFF+PRON PREP DET+NOUN+NSUFF NOUN DET+NOUN EMOT PART PREP+DET+NOUN NOUN PART V PREP NOUN+PRON NOUN EMOT,17
Levantine,3B,@joemaalouftv @7kiJelis من الضعف منخلق قوة وكلنا لبنانيين سياسيين بلا تكلفة مالية انو تشارك بالمشروع بتامل سياسيين يتواضعه وينزلو عن كراسيهن,@joemaalouftv @7kiJelis من ال+ضعف م+نخلق قو+ة و+كل+نا لبناني+ين سياسي+ين بلا تكلف+ة مالي+ة ان+و تشارك ب+ال+مشروع ب+تامل سياسي+ين يتواضع+ه و+ينزل+و عن كراسي+هن,MENTION MENTION PREP DET+NOUN PROG_PART+V NOUN+NSUFF CONJ+NOUN+PRON NOUN+NSUFF ADJ+NSUFF PART NOUN+NSUFF ADJ+NSUFF PART+PRON V PREP+DET+NOUN PROG_PART+V NOUN+NSUFF V+PRON CONJ+V+PRON PREP NOUN+PRON,21
Levantine,3A,تحية لجمهور ١٤ آذار يللي عم بيعاني مرتين : مرة من تزريك اللبنانيين على مهرجانه ومرة تانية من مستوى كلمات قياداته سامحونا 0,تحي+ة ل+جمهور ١٤ آذار يللي عم ب+يعاني مر+ت+ين : مر+ة من تزريك ال+لبناني+ين على مهرجان+ه و+مر+ة تاني+ة من مستوى كلم+ات قياد+ات+ه سامح+و+نا 0,NOUN+NSUFF PREP+NOUN NUM NOUN PART PART PROG_PART+V NOUN+NSUFF+NSUFF PUNC NOUN+NSUFF PREP NOUN DET+NOUN+NSUFF PREP NOUN+NSUFF CONJ+NOUN+NSUFF ADJ+NSUFF PREP NOUN NOUN+NSUFF NOUN+NSUFF+NSUFF V+PRON+PRON PUNC,23
Levantine,2A,وقت تقرا كومنت شخص عالفيسبوك و هو عم يبيض طناجر وانت بتعرفو بالحياة العادية تماما مش هيك يو فيل لايك : وظفك ؟ ؟ ! ! http://t.co/tANWbzvaoq,وقت تقرا كومنت شخص ع+ال+فيسبوك و هو عم يبيض طناجر و+انت ب+تعرف+و ب+ال+حيا+ة ال+عادي+ة تمام+ا مش هيك يو فيل لايك : وظفك ؟ ؟ ! ! http://t.co/tANWbzvaoq,NOUN V NOUN NOUN PREP+DET+NOUN CONJ PRON PART V NOUN CONJ+PRON PROG_PART+V+PRON PREP+DET+NOUN+NSUFF DET+ADJ+NSUFF NOUN+CASE PART ADV PRON V NOUN PUNC NOUN PUNC PUNC PUNC PUNC URL,27
