dialect,sentence_id,token_index,word,morphological_segment,pos_tag
Egyptian,4A_0,1,ليه,ليه,PART
Egyptian,4A_1,2,لما,لما,PART
Egyptian,4A_2,3,تحب,تحب,V
Egyptian,4A_3,4,حد,حد,NOUN
Egyptian,4A_4,5,من,من,PREP
Egyptian,4A_5,6,قلبك,قلب+ك,NOUN+PRON
Egyptian,4A_6,7,يطلع,يطلع,V
Egyptian,4A_7,8,واطى,واطى,ADJ
Egyptian,4A_8,9,ليه,ليه,PART
Egyptian,4A_9,10,لما,لما,PART
Egyptian,4A_10,11,تلعب,تلعب,V
Egyptian,4A_11,12,على,على,PREP
Egyptian,4A_12,13,واحد,واحد,NOUN
Egyptian,4A_13,14,يطلع,يطلع,V
Egyptian,4A_14,15,بيحبك,ب+يحب+ك,PROG_PART+V+PRON
Egyptian,4A_15,16,ليه,ليه,PART
Egyptian,4A_16,17,اللى,اللى,PART
Egyptian,4A_17,18,هيموت,ه+يموت,FUT_PART+V
Egyptian,4A_18,19,عليك,علي+ك,PREP+PRON
Egyptian,4A_19,20,انت,انت,PRON
Egyptian,4A_20,21,مش,مش,PART
Egyptian,4A_21,22,طايقه,طايق+ه,ADJ+PRON
Egyptian,4A_22,23,واللى,و+اللى,CONJ+PART
Egyptian,4A_23,24,هتموت,ه+تموت,FUT_PART+V
Egyptian,4A_24,25,عليه,علي+ه,PREP+PRON
Egyptian,4A_25,26,مش,مش,PART
Egyptian,4A_26,27,طايقك,طايق+ك,ADJ+PRON
Egyptian,4A_27,28,عجبت,عجب+ت,V+PRON
Egyptian,4A_28,29,لك,ل+ك,PREP+PRON
Egyptian,4A_29,30,يا,يا,PART
Egyptian,4A_30,31,زمن,زمن,NOUN
Egyptian,4A_31,1,عارف,عارف,ADJ
Egyptian,4A_32,2,بيقولك,ب+يقو+ل+ك,PROG_PART+V+PREP+PRON
Egyptian,4A_33,3,ايه,ايه,PART
Egyptian,4A_34,4,"""","""",PUNC
Egyptian,4A_35,5,إذا,إذا,PART
Egyptian,4A_36,6,أخطأت,أخطأ+ت,V+PRON
Egyptian,4A_37,7,فأحسن,ف+أحسن,CONJ+V
Egyptian,4A_38,8,"""","""",PUNC
Egyptian,4A_39,9,.,.,PUNC
Egyptian,4A_40,10,.,.,PUNC
Egyptian,4A_41,11,يعني,يعني,V
Egyptian,4A_42,12,متعندش,م+تعند+ش,PART+V+NEG_PART
Egyptian,4A_43,13,.,.,PUNC
Egyptian,4A_44,14,.,.,PUNC
Egyptian,4A_45,15,و,و,CONJ
Egyptian,4A_46,16,متسألش,م+تسأل+ش,PART+V+NEG_PART
Egyptian,4A_47,17,مين,مين,PART
Egyptian,4A_48,18,اللي,اللي,PART
Egyptian,4A_49,19,بيقولك,ب+يقو+ل+ك,PROG_PART+V+PREP+PRON
Egyptian,4A_50,20,.,.,PUNC
Egyptian,3A_51,1,الحمد,ال+حمد,DET+NOUN
Egyptian,3A_52,2,لله,ل+الله,PREP+NOUN
Egyptian,3A_53,3,يا,يا,PART
Egyptian,3A_54,4,جدعان,جدعان,NOUN
Egyptian,3A_55,5,الفرسان,ال+فرسان,DET+NOUN
Egyptian,3A_56,6,اللي,اللي,PART
Egyptian,3A_57,7,اتمسكوا,اتمسك+وا,V+PRON
Egyptian,3A_58,8,عند,عند,NOUN
Egyptian,3A_59,9,ستاد,ستاد,NOUN
Egyptian,3A_60,10,القاهرة,ال+قاهر+ة,DET+NOUN+NSUFF
Egyptian,3A_61,11,خدوا,خد+وا,V+PRON
Egyptian,3A_62,12,اخلاء,اخلاء,NOUN
Egyptian,3A_63,13,سبيل,سبيل,NOUN
Egyptian,3A_64,14,#ربنا_كبير,#ربنا_كبير,HASH
Egyptian,3A_65,15,.,.,PUNC
Egyptian,3A_66,16,.,.,PUNC
Egyptian,3A_67,17,بقالنا,بقا+ل+نا,V+PREP+PRON
Egyptian,3A_68,18,7,7,NUM
Egyptian,3A_69,19,سنين,سن+ين,NOUN+NSUFF
Egyptian,3A_70,20,ظلم,ظلم,NOUN
Egyptian,3A_71,21,و,و,CONJ
Egyptian,3A_72,22,قهر,قهر,NOUN
Egyptian,3A_73,23,ده,ده,PRON
Egyptian,3A_74,24,يرضي,يرضي,V
Egyptian,3A_75,25,مين,مين,PART
Egyptian,3A_76,26,؟,؟,PUNC
Egyptian,3A_77,27,؟,؟,PUNC
Egyptian,3A_78,28,؟,؟,PUNC
Egyptian,3A_79,29,؟,؟,PUNC
Egyptian,3A_80,30,#الحمد_لله,#الحمد_لله,HASH
Egyptian,1A_81,1,بحس,ب+حس,PROG_PART+V
Egyptian,1A_82,2,بشخصيتي,ب+شخصي+ت+ي,PREP+NOUN+NSUFF+PRON
Egyptian,1A_83,3,القوية,ال+قوي+ة,DET+ADJ+NSUFF
Egyptian,1A_84,4,لما,لما,PART
Egyptian,1A_85,5,اقول,اقول,V
Egyptian,1A_86,6,لاخويا,ل+اخو+يا,PREP+NOUN+PRON
Egyptian,1A_87,7,اعمل,اعمل,V
