dialect,sentence_id,token_index,word,morphological_segment,pos_tag
Maghrebi,2B_0,1,0.7,0.7,NUM
Maghrebi,2B_1,2,ديال,ديال,PREP
Maghrebi,2B_2,3,المغربيات,ال+مغربي+ات,DET+NOUN+NSUFF
Maghrebi,2B_3,4,لي,لي,PART
Maghrebi,2B_4,5,خدامات,خدام+ات,V+PRON
Maghrebi,2B_5,6,ماعندهومش,ما+عند+هوم+ش,PART+NOUN+PRON+NEG_PART
Maghrebi,2B_6,7,الديبلومات,ال+ديبلوم+ات,DET+NOUN+NSUFF
Maghrebi,3B_7,1,أخر,أخر,NOUN
Maghrebi,3B_8,2,موسم,موسم,NOUN
Maghrebi,3B_9,3,رح,رح,PART
Maghrebi,3B_10,4,اتابعه,اتابع+ه,V+PRON
Maghrebi,3B_11,5,🔥,🔥,EMOT
Maghrebi,3B_12,6,💕,💕,EMOT
Maghrebi,3B_13,7,بكفيني,ب+كفي+ني,PROG_PART+V+PRON
Maghrebi,3B_14,8,حنان,حنان,NOUN
Maghrebi,3B_15,9,هاد,هاد,PRON
Maghrebi,3B_16,10,الموسم,ال+موسم,DET+NOUN
Maghrebi,3B_17,11,❤,❤,EMOT
Maghrebi,3B_18,12,وايلي,وايلي,PART
Maghrebi,3B_19,13,ايليا,ايليا,NOUN
Maghrebi,3B_20,14,الموسم,ال+موسم,DET+NOUN
Maghrebi,3B_21,15,اللي,اللي,PART
Maghrebi,3B_22,16,فات,فات,V
Maghrebi,3B_23,17,💕,💕,EMOT
Maghrebi,3B_24,18,عدم,عدم,NOUN
Maghrebi,3B_25,19,المصداقية,ال+مصداقي+ة,DET+NOUN+NSUFF
Maghrebi,3B_26,20,والمسخرة,و+ال+مسخر+ة,CONJ+DET+NOUN+NSUFF
Maghrebi,3B_27,21,😂,😂,EMOT
Maghrebi,3B_28,22,✋,✋,EMOT
Maghrebi,3B_29,23,#StaracArabia,#StaracArabia,HASH
Maghrebi,3B_30,24,#ha,#ha,HASH
Maghrebi,3B_31,25,…,…,PUNC
Maghrebi,1B_32,1,#كلاسيكيات_الابتدائي,#كلاسيكيات_الابتدائي,HASH
Maghrebi,1B_33,2,-,-,PUNC
Maghrebi,1B_34,3,أستاد,أستاد,NOUN
Maghrebi,1B_35,4,الدليمي,ال+دليمي,DET+NOUN
Maghrebi,1B_36,5,مات,مات,V
Maghrebi,1B_37,6,شكون,شكون,PART
Maghrebi,1B_38,7,قتلو,قتل+و,V+PRON
Maghrebi,1B_39,8,؟,؟,PUNC
Maghrebi,1B_40,9,-,-,PUNC
Maghrebi,1B_41,10,غدّا,غد+ا,NOUN+CASE
Maghrebi,1B_42,11,جيب,جيب,V
Maghrebi,1B_43,12,بّاك,با+ك,NOUN+PRON
Maghrebi,1B_44,13,عاد,عاد,PART
Maghrebi,1B_45,14,تدخل,تدخل,V
Maghrebi,1B_46,15,😒,😒,EMOT
Maghrebi,4B_47,1,@ZahoSghir,@ZahoSghir,MENTION
Maghrebi,4B_48,2,أصلا,أصل+ا,NOUN+CASE
Maghrebi,4B_49,3,كان,كان,V
Maghrebi,4B_50,4,باين,باين,ADJ
Maghrebi,4B_51,5,ان,ان,PART
Maghrebi,4B_52,6,الهجمات,ال+هجم+ات,DET+NOUN+NSUFF
Maghrebi,4B_53,7,غادي,غادي,PART
