dialect,sentence_id,token_index,word,morphological_segment,pos_tag
Levantine,2B_0,1,قاعد,قاعد,ADJ
Levantine,2B_1,2,عم,عم,PART
Levantine,2B_2,3,حاكي,حاكي,V
Levantine,2B_3,4,حالي,حال+ي,NOUN+PRON
Levantine,2B_4,5,بالأحرى,ب+ال+أحرى,PREP+DET+ADJ
Levantine,2B_5,6,صاير,صاير,ADJ
Levantine,2B_6,7,مجنون,مجنون,ADJ
Levantine,2B_7,8,تويتر,تويتر,NOUN
Levantine,2B_8,9,يا,يا,PART
Levantine,2B_9,10,شاغل,شاغل,NOUN
Levantine,2B_10,11,بالي,بال+ي,NOUN+PRON
Levantine,2B_11,12,راسي,راس+ي,NOUN+PRON
Levantine,2B_12,13,بي,بي,PROG_PART
Levantine,2B_13,14,هالتلفون,ه+ال+تلفون,PRON+DET+NOUN
Levantine,2B_14,15,#AKpoems,#AKpoems,HASH
Levantine,3B_15,1,@Nadahalawi,@Nadahalawi,MENTION
Levantine,3B_16,2,لا,لا,PART
Levantine,3B_17,3,خلص,خلص,NOUN
Levantine,3B_18,4,بنحكيلو,ب+نحكي+ل+و,FUT_PART+V+PREP+PRON
Levantine,3B_19,5,هادي,هادي,PRON
Levantine,3B_20,6,ألعاب,ألعاب,NOUN
Levantine,3B_21,7,نارية,ناري+ة,ADJ+NSUFF
Levantine,3B_22,8,فرحانين,فرحان+ين,ADJ+NSUFF
Levantine,3B_23,9,فيك,في+ك,PREP+PRON
Levantine,3B_24,10,0,0,PUNC
Levantine,3B_25,11,0,0,PUNC
Levantine,3B_26,12,!,!,PUNC
Levantine,3B_27,13,!,!,PUNC
Levantine,1B_28,1,طالعوا,طالع+وا,V+PRON
Levantine,1B_29,2,بس,بس,ADV
Levantine,1B_30,3,شوفوا,شوف+وا,V+PRON
Levantine,1B_31,4,الجمال,ال+جمال,DET+NOUN
Levantine,1B_32,5,بالله,ب+الله,PREP+NOUN
Levantine,1B_33,6,بالله,ب+الله,PREP+NOUN
Levantine,1B_34,7,فيه,فيه,ADV
Levantine,1B_35,8,احد,احد,NOUN
Levantine,1B_36,9,يتجرء,يتجرء,V
Levantine,1B_37,10,يزعلها,يزعل+ها,V+PRON
Levantine,1B_38,11,بكلمه,ب+كلم+ه,PREP+NOUN+NSUFF
Levantine,1B_39,12,او,او,CONJ
Levantine,1B_40,13,ينتقدها,ينتقد+ها,V+PRON
Levantine,1B_41,14,(,(,PUNC
Levantine,1B_42,15,مجنونه,مجنون+ه,ADJ+NSUFF
Levantine,1B_43,16,انا,انا,PRON
Levantine,1B_44,17,في,في,PREP
Levantine,1B_45,18,حبها,حب+ها,NOUN+PRON
Levantine,1B_46,19,),),PUNC
Levantine,1B_47,20,@najwakaram,@najwakaram,MENTION
Levantine,1B_48,21,http://t.co/8Mj3TU1ARn,http://t.co/8Mj3TU1ARn,URL
Levantine,4B_49,1,#كيف_تغتال_زوجتك,#كيف_تغتال_زوجتك,HASH
Levantine,4B_50,2,قلها,قل+ها,V+PRON
Levantine,4B_51,3,شوفي,شوف+ي,V+PRON
Levantine,4B_52,4,لي,ل+ي,PREP+PRON
Levantine,4B_53,5,السيارة,ال+سيار+ة,DET+NOUN+NSUFF
Levantine,4B_54,6,من,من,PREP
Levantine,4B_55,7,ورا,ورا,NOUN
Levantine,4B_56,8,ولما,و+لما,CONJ+PART
Levantine,4B_57,9,تنزل,تنزل,V
Levantine,4B_58,10,ارجع,ارجع,V
Levantine,4B_59,11,عليها,علي+ها,PREP+PRON
Levantine,4B_60,12,وادعسها,و+ادعس+ها,CONJ+V+PRON
Levantine,5A_61,1,صباح,صباح,NOUN
Levantine,5A_62,2,الخير,ال+خير,DET+NOUN
Levantine,5A_63,3,والحمدالله,و+ال+حمدالله,CONJ+DET+NOUN
Levantine,5A_64,4,عالسلامة,ع+ال+سلام+ة,PREP+DET+NOUN+NSUFF
Levantine,5A_65,5,لالكل,ل+ال+كل,PREP+DET+NOUN
Levantine,5A_66,6,0,0,PUNC
Levantine,5A_67,7,0,0,PUNC
Levantine,5A_68,8,0,0,PUNC
Levantine,5A_69,9,بموضوع,ب+موضوع,PREP+NOUN
Levantine,5A_70,10,التفجيرات,ال+تفجير+ات,DET+NOUN+NSUFF
Levantine,5A_71,11,فادي,فادي,NOUN
Levantine,5A_72,12,بيحب,ب+يحب,PROG_PART+V
Levantine,5A_73,13,انو,ان+و,PART+PRON
Levantine,5A_74,14,الصحافيين,ال+صحافي+ين,DET+NOUN+NSUFF
Levantine,5A_75,15,يظهروا,يظهر+وا,V+PRON
Levantine,5A_76,16,الحقيقة,ال+حقيق+ة,DET+NOUN+NSUFF
Levantine,5A_77,17,متل,متل,NOUN
Levantine,5A_78,18,ما,ما,PART
Levantine,5A_79,19,هي,هي,PRON
Levantine,5A_80,20,لأنو,ل+أن+و,PREP+PART+PRON
Levantine,5A_81,21,هيدا,هيدا,PRON
Levantine,5A_82,22,0,0,PUNC
Levantine,5A_83,23,0,0,PUNC
Levantine,5A_84,24,0,0,PUNC
Levantine,5A_85,25,http://t.co/VbYJPy2PLU,http://t.co/VbYJPy2PLU,URL
Levantine,4A_86,1,قال,قال,V
Levantine,4A_87,2,لي,ل+ي,PREP+PRON
Levantine,4A_88,3,جبتي,جب+ت+ي,V+PRON+PRON
Levantine,4A_89,4,هدية,هدي+ة,NOUN+NSUFF
Levantine,4A_90,5,لأمك,ل+أم+ك,PREP+NOUN+PRON
Levantine,4A_91,6,؟,؟,PUNC
Levantine,4A_92,7,-,-,PUNC
Levantine,4A_93,8,أكيد,أكيد,ADJ
Levantine,4A_94,9,كنت,كن+ت,V+PRON
Levantine,4A_95,10,بدي,بد+ي,NOUN+PRON
Levantine,4A_96,11,قلك,قل+ك,V+PRON
Levantine,4A_97,12,تجيبيلا,تجيب+ي+ل+ا,V+PRON+PREP+PRON
Levantine,4A_98,13,السنة,ال+سن+ة,DET+NOUN+NSUFF
Levantine,4A_99,14,شي,شي,NOUN
Levantine,4A_100,15,أكيد,أكيد,ADJ
Levantine,4A_101,16,ما,ما,PART
Levantine,4A_102,17,عندا,عند+ا,NOUN+PRON
Levantine,4A_103,18,منو,من+و,PREP+PRON
Levantine,4A_104,19,-,-,PUNC
Levantine,4A_105,20,شو,شو,PART
Levantine,4A_106,21,؟,؟,PUNC
Levantine,4A_107,22,*,*,PUNC
Levantine,4A_108,23,ظبط,ظبط,V
Levantine,4A_109,24,قعدتو,قعد+ت+و,NOUN+NSUFF+PRON
Levantine,4A_110,25,و,و,CONJ
Levantine,4A_111,26,ضحك,ضحك,V
Levantine,4A_112,27,قبل,قبل,NOUN
Levantine,4A_113,28,ما,ما,PART
Levantine,4A_114,29,يقول,يقول,V
Levantine,4A_115,30,*,*,PUNC
Levantine,4A_116,31,صهررررر,صهررررر,NOUN
Levantine,4A_117,32,Loool,Loool,FOREIGN
Levantine,4A_118,1,في,في,ADV
Levantine,4A_119,2,ناس,ناس,NOUN
Levantine,4A_120,3,وظيفتها,وظيف+ت+ها,NOUN+NSUFF+PRON
Levantine,4A_121,4,في,في,PREP
Levantine,4A_122,5,الحياة,ال+حيا+ة,DET+NOUN+NSUFF
Levantine,4A_123,6,سد,سد,NOUN
Levantine,4A_124,7,النفس,ال+نفس,DET+NOUN
Levantine,4A_125,8,o_O,o_O,EMOT
Levantine,4A_126,9,أيوااااااه,أيوااااااه,PART
Levantine,4A_127,10,بالزبط,ب+ال+زبط,PREP+DET+NOUN
Levantine,4A_128,11,متل,متل,NOUN
Levantine,4A_129,12,إلي,إلي,PART
Levantine,4A_130,13,خطر,خطر,V
Levantine,4A_131,14,ع,ع,PREP
Levantine,4A_132,15,بالك,بال+ك,NOUN+PRON
Levantine,4A_133,16,هلأ,هلأ,NOUN
Levantine,4A_134,17,:-\\,:-\\,EMOT
Levantine,3B_135,1,@joemaalouftv,@joemaalouftv,MENTION
Levantine,3B_136,2,@7kiJelis,@7kiJelis,MENTION
Levantine,3B_137,3,من,من,PREP
Levantine,3B_138,4,الضعف,ال+ضعف,DET+NOUN
Levantine,3B_139,5,منخلق,م+نخلق,PROG_PART+V
Levantine,3B_140,6,قوة,قو+ة,NOUN+NSUFF
Levantine,3B_141,7,وكلنا,و+كل+نا,CONJ+NOUN+PRON
Levantine,3B_142,8,لبنانيين,لبناني+ين,NOUN+NSUFF
Levantine,3B_143,9,سياسيين,سياسي+ين,ADJ+NSUFF
Levantine,3B_144,10,بلا,بلا,PART
Levantine,3B_145,11,تكلفة,تكلف+ة,NOUN+NSUFF
Levantine,3B_146,12,مالية,مالي+ة,ADJ+NSUFF
Levantine,3B_147,13,انو,ان+و,PART+PRON
Levantine,3B_148,14,تشارك,تشارك,V
Levantine,3B_149,15,بالمشروع,ب+ال+مشروع,PREP+DET+NOUN
Levantine,3B_150,16,بتامل,ب+تامل,PROG_PART+V
Levantine,3B_151,17,سياسيين,سياسي+ين,NOUN+NSUFF
Levantine,3B_152,18,يتواضعه,يتواضع+ه,V+PRON
Levantine,3B_153,19,وينزلو,و+ينزل+و,CONJ+V+PRON
Levantine,3B_154,20,عن,عن,PREP
Levantine,3B_155,21,كراسيهن,كراسي+هن,NOUN+PRON
Levantine,3A_156,1,تحية,تحي+ة,NOUN+NSUFF
Levantine,3A_157,2,لجمهور,ل+جمهور,PREP+NOUN
Levantine,3A_158,3,١٤,١٤,NUM
Levantine,3A_159,4,آذار,آذار,NOUN
Levantine,3A_160,5,يللي,يللي,PART
Levantine,3A_161,6,عم,عم,PART
Levantine,3A_162,7,بيعاني,ب+يعاني,PROG_PART+V
Levantine,3A_163,8,مرتين,مر+ت+ين,NOUN+NSUFF+NSUFF
Levantine,3A_164,9,:,:,PUNC
Levantine,3A_165,10,مرة,مر+ة,NOUN+NSUFF
Levantine,3A_166,11,من,من,PREP
Levantine,3A_167,12,تزريك,تزريك,NOUN
Levantine,3A_168,13,اللبنانيين,ال+لبناني+ين,DET+NOUN+NSUFF
Levantine,3A_169,14,على,على,PREP
Levantine,3A_170,15,مهرجانه,مهرجان+ه,NOUN+NSUFF
Levantine,3A_171,16,ومرة,و+مر+ة,CONJ+NOUN+NSUFF
Levantine,3A_172,17,تانية,تاني+ة,ADJ+NSUFF
Levantine,3A_173,18,من,من,PREP
Levantine,3A_174,19,مستوى,مستوى,NOUN
Levantine,3A_175,20,كلمات,كلم+ات,NOUN+NSUFF
Levantine,3A_176,21,قياداته,قياد+ات+ه,NOUN+NSUFF+NSUFF
Levantine,3A_177,22,سامحونا,سامح+و+نا,V+PRON+PRON
Levantine,3A_178,23,0,0,PUNC
Levantine,2A_179,1,وقت,وقت,NOUN
Levantine,2A_180,2,تقرا,تقرا,V
Levantine,2A_181,3,كومنت,كومنت,NOUN
Levantine,2A_182,4,شخص,شخص,NOUN
Levantine,2A_183,5,عالفيسبوك,ع+ال+فيسبوك,PREP+DET+NOUN
Levantine,2A_184,6,و,و,CONJ
Levantine,2A_185,7,هو,هو,PRON
Levantine,2A_186,8,عم,عم,PART
Levantine,2A_187,9,يبيض,يبيض,V
Levantine,2A_188,10,طناجر,طناجر,NOUN
Levantine,2A_189,11,وانت,و+انت,CONJ+PRON
Levantine,2A_190,12,بتعرفو,ب+تعرف+و,PROG_PART+V+PRON
Levantine,2A_191,13,بالحياة,ب+ال+حيا+ة,PREP+DET+NOUN+NSUFF
Levantine,2A_192,14,العادية,ال+عادي+ة,DET+ADJ+NSUFF
Levantine,2A_193,15,تماما,تمام+ا,NOUN+CASE
Levantine,2A_194,16,مش,مش,PART
Levantine,2A_195,17,هيك,هيك,ADV
Levantine,2A_196,18,يو,يو,PRON
Levantine,2A_197,19,فيل,فيل,V
Levantine,2A_198,20,لايك,لايك,NOUN
Levantine,2A_199,21,:,:,PUNC
Levantine,2A_200,22,وظفك,وظفك,NOUN
Levantine,2A_201,23,؟,؟,PUNC
Levantine,2A_202,24,؟,؟,PUNC
Levantine,2A_203,25,!,!,PUNC
Levantine,2A_204,26,!,!,PUNC
Levantine,2A_205,27,http://t.co/tANWbzvaoq,http://t.co/tANWbzvaoq,URL
Levantine,5A_206,1,انو,ان+و,PART+PRON
Levantine,5A_207,2,هالمسلحين,ه+ال+مسلح+ين,PRON+DET+NOUN+NSUFF
Levantine,5A_208,3,بينزلو,ب+ينزل+و,PROG_PART+V+PREP
Levantine,5A_209,4,على,على,PREP
