dialect,sentence_id,sentence,segmented,pos_sequence,token_count
Egyptian,4A,ليه لما تحب حد من قلبك يطلع واطى ليه لما تلعب على واحد يطلع بيحبك ليه اللى هيموت عليك انت مش طايقه واللى هتموت عليه مش طايقك عجبت لك يا زمن,ليه لما تحب حد من قلب+ك يطلع واطى ليه لما تلعب على واحد يطلع ب+يحب+ك ليه اللى ه+يموت علي+ك انت مش طايق+ه و+اللى ه+تموت علي+ه مش طايق+ك عجب+ت ل+ك يا زمن,PART PART V NOUN PREP NOUN+PRON V ADJ PART PART V PREP NOUN V PROG_PART+V+PRON PART PART FUT_PART+V PREP+PRON PRON PART ADJ+PRON CONJ+PART FUT_PART+V PREP+PRON PART ADJ+PRON V+PRON PREP+PRON PART NOUN,31
Egyptian,4A,"عارف بيقولك ايه "" إذا أخطأت فأحسن "" . . يعني متعندش . . و متسألش مين اللي بيقولك .","عارف ب+يقو+ل+ك ايه "" إذا أخطأ+ت ف+أحسن "" . . يعني م+تعند+ش . . و م+تسأل+ش مين اللي ب+يقو+ل+ك .",ADJ PROG_PART+V+PREP+PRON PART PUNC PART V+PRON CONJ+V PUNC PUNC PUNC V PART+V+NEG_PART PUNC PUNC CONJ PART+V+NEG_PART PART PART PROG_PART+V+PREP+PRON PUNC,20
Egyptian,3A,الحمد لله يا جدعان الفرسان اللي اتمسكوا عند ستاد القاهرة خدوا اخلاء سبيل #ربنا_كبير . . بقالنا 7 سنين ظلم و قهر ده يرضي مين ؟ ؟ ؟ ؟ #الحمد_لله,ال+حمد ل+الله يا جدعان ال+فرسان اللي اتمسك+وا عند ستاد ال+قاهر+ة خد+وا اخلاء سبيل #ربنا_كبير . . بقا+ل+نا 7 سن+ين ظلم و قهر ده يرضي مين ؟ ؟ ؟ ؟ #الحمد_لله,DET+NOUN PREP+NOUN PART NOUN DET+NOUN PART V+PRON NOUN NOUN DET+NOUN+NSUFF V+PRON NOUN NOUN HASH PUNC PUNC V+PREP+PRON NUM NOUN+NSUFF NOUN CONJ NOUN PRON V PART PUNC PUNC PUNC PUNC HASH,30
Egyptian,1A,بحس بشخصيتي القوية لما اقول لاخويا اعمل حاجة . . و يعملها . . حتي لو رخم و قال لأ . . بحس اني شخصية كدا و بتسمع كلامي ^_^,ب+حس ب+شخصي+ت+ي ال+قوي+ة لما اقول ل+اخو+يا اعمل حاج+ة . . و يعمل+ها . . حتي لو رخم و قال لأ . . ب+حس ان+ي شخصي+ة كدا و ب+تسمع كلام+ي ^_^,PROG_PART+V PREP+NOUN+NSUFF+PRON DET+ADJ+NSUFF PART V PREP+NOUN+PRON V NOUN+NSUFF PUNC PUNC CONJ V+PRON PUNC PUNC PART PART V CONJ V PART PUNC PUNC PROG_PART+V PART+PRON NOUN+NSUFF ADV CONJ PROG_PART+V NOUN+PRON EMOT,30
Egyptian,5A,@ahmedabodsheesh يا باشا دي مش محتاجه دراسه دي بتبقي موهبه عندك مثلا عيلاء صادق و صفوت حجازي دول تفوقوا علي استاذهم صفوت الشريف كبيرهم,@ahmedabodsheesh يا باشا دي مش محتاج+ه دراس+ه دي ب+تبقي موهب+ه عند+ك مثل+ا عيلاء صادق و صفوت حجازي دول تفوق+وا علي استاذ+هم صفوت ال+شريف كبير+هم,MENTION PART NOUN PRON PART ADJ+NSUFF NOUN+NSUFF PRON PROG_PART+V NOUN+NSUFF NOUN+PRON NOUN+CASE NOUN NOUN CONJ NOUN NOUN PRON V+PRON PREP NOUN+PRON NOUN DET+NOUN ADJ+PRON,24
Egyptian,2A,و هو في محامين هيعبّرونا بعد اعتقال وتهديد المحامين اللي بيدافعوا عن المظلومين ؟ ؟ ؟ ده غير المحامي اللي قتلوا والدته ! @mohamedwaked @ANohan,و هو في محام+ين ه+يعبر+و+نا بعد اعتقال و+تهديد ال+محام+ين اللي ب+يدافع+وا عن ال+مظلوم+ين ؟ ؟ ؟ ده غير ال+محامي اللي قتل+وا والد+ت+ه ! @mohamedwaked @ANohan,CONJ PRON PREP NOUN+NSUFF FUT_PART+V+PRON+PRON NOUN NOUN CONJ+NOUN DET+NOUN+NSUFF PART PROG_PART+V+PRON PREP DET+NOUN+NSUFF PUNC PUNC PUNC PRON NOUN DET+NOUN PART V+PRON NOUN+NSUFF+PRON PUNC MENTION MENTION,25
Egyptian,1A,معظم الحاجات اللى مبنقدرش نحكيها بنيجى نكتبها هنا على الأقل بتخفف عنا شوية .,معظم ال+حاج+ات اللى م+ب+نقدر+ش نحكي+ها ب+نيجى نكتب+ها هنا على ال+أقل ب+تخفف عن+ا شوي+ة .,NOUN DET+NOUN+NSUFF PART PART+PROG_PART+V+NEG_PART V+PRON PROG_PART+V V+PRON ADV PREP DET+ADJ PROG_PART+V PREP+PRON NOUN+NSUFF PUNC,14
Egyptian,5A,احنا بنزعل لما ربنا يبتلينا أو تحصلنا حاجه وحشه ! مع ان ربنا إذا حب عبد ابتلاه لتكفير عن ذنوبه - يعني خاف لو ربنا مش ابتلاك .,احنا ب+نزعل لما رب+نا يبتلي+نا أو تحص+ل+نا حاج+ه وحش+ه ! مع ان رب+نا إذا حب عبد ابتلا+ه ل+تكفير عن ذنوب+ه - يعني خاف لو رب+نا مش ابتلا+ك .,PRON PROG_PART+V PART NOUN+PRON V+PRON CONJ V+PREP+PRON NOUN+NSUFF ADJ+NSUFF PUNC NOUN PART NOUN+PRON PART V NOUN V+PRON PREP+NOUN PREP NOUN+PRON PUNC ADV V PART NOUN+PRON PART V+PRON PUNC,28
Egyptian,4A,( 6 ) مش عارف ليه بس الكلمة اللى عمرك ما هتندم عليها الكلمة اللى أنت لسة مقولتهاش . . . بس للأسف لازم يجى عليك وقت و تقولها,( 6 ) مش عارف ليه بس ال+كلم+ة اللى عمر+ك ما ه+تندم علي+ها ال+كلم+ة اللى أنت لس+ة م+قول+ت+ها+ش . . . بس ل+ال+أسف لازم يجى علي+ك وقت و تقول+ها,PUNC NUM PUNC PART ADJ PART ADV DET+NOUN+NSUFF PART NOUN+PRON PART FUT_PART+V PREP+PRON DET+NOUN+NSUFF PART PRON ADV+NSUFF PART+V+PRON+PRON+NEG_PART PUNC PUNC PUNC PART PREP+DET+NOUN ADJ V PREP+PRON NOUN CONJ V+PRON,29
Egyptian,3A,اضحك وبلاش التكشيرة تنسيك شكل الضحكة وشك هيكرمش عالفاضى وهتعجز بدرى خليك ناصح وارمى همومك ورا ضهرك وافرح دى الايام بتفوت وتعدى والعمر بيجرى,اضحك و+بلاش ال+تكشير+ة تنسي+ك شكل ال+ضحك+ة وش+ك ه+يكرمش ع+ال+فاضى و+ه+تعجز بدرى خل+ي+ك ناصح و+ارم+ى هموم+ك ورا ضهر+ك و+افرح دى ال+ايام ب+تفوت و+تعدى و+ال+عمر ب+يجرى,V CONJ+PART DET+NOUN+NSUFF V+PRON NOUN DET+NOUN+NSUFF NOUN+PRON FUT_PART+V PREP+DET+NOUN CONJ+FUT_PART+V ADJ V+PRON+PRON ADJ CONJ+V+PRON NOUN+PRON NOUN NOUN+PRON CONJ+V PRON DET+NOUN PROG_PART+V CONJ+V CONJ+DET+NOUN PROG_PART+V,24
