dialect,sentence_id,sentence,segmented,pos_sequence,token_count
Gulf,2B,@tagimlm77 @444Tf هو ثعلب مكار بعد شوي بيقولها اتحداك تسوين احلا منه عشان تسوي ? ? ? ?,@tagimlm77 @444Tf هو ثعلب مكار بعد شوي ب+يقول+ها اتحدا+ك تسو+ين احلا من+ه عشان تسوي ? ? ? ?,MENTION MENTION PRON NOUN ADJ NOUN ADJ PROG_PART+V+PRON V+PRON V+PRON ADJ PREP+PRON PART V PUNC PUNC PUNC PUNC,18
Gulf,3B,صدز لاقال ان ريحة العود تنعنش وياهي تخلي البال رايق رجعت من الجامعه والقى اميمتي مبخرة البيت . < < اهل الجنون لازم العود مشعلل عندهم ? ?,صدز لا+قال ان ريح+ة ال+عود تنعنش و+يا+هي تخلي ال+بال رايق رجع+ت من ال+جامع+ه و+القى اميم+ت+ي مبخر+ة ال+بيت . < < اهل ال+جنون لازم ال+عود مشعلل عند+هم ? ?,NOUN PART+V PART NOUN+NSUFF DET+NOUN V CONJ+PART+PRON V DET+NOUN ADJ V+PRON PREP DET+NOUN+NSUFF CONJ+V NOUN+NSUFF+PRON ADJ+PRON DET+NOUN PUNC PUNC PUNC NOUN DET+NOUN ADJ DET+NOUN ADJ NOUN+PRON PUNC PUNC,28
Gulf,1B,لا تفكرين بالماضي عشان ما تتضايقين ولا المستقبل عشان ما تشيلين هم لا تفكرين بشي بس أبلعي ونامي,لا تفكر+ين ب+ال+ماضي عشان ما تتضايق+ين و+لا ال+مستقبل عشان ما تشيل+ين هم لا تفكر+ين ب+شي بس أبلع+ي و+نام+ي,PART V+PRON PREP+DET+NOUN PART PART V+PRON CONJ+PART DET+NOUN PART PART V+PRON NOUN PART V+PRON PREP+NOUN PART V+PRON CONJ+V+PRON,18
Gulf,4B,@chanyol_ اي والله اعرف وحده كذا لدرجه انها تتجرأ وتقول تحبها اكثر م زوجها بجد عجزت افهمها ? ?,@chanyol_ اي و+الله اعرف وحد+ه كذا ل+درج+ه ان+ها تتجرأ و+تقول تحب+ها اكثر م زوج+ها ب+جد عجز+ت افهم+ها ? ?,MENTION PART CONJ+NOUN V NOUN+NSUFF ADV PREP+NOUN+NSUFF PART+PRON V CONJ+V V+PRON ADJ PREP NOUN+PRON PREP+NOUN V+PRON V+PRON PUNC PUNC,19
Gulf,5A,في عآلم الشعر والأضوآء والشهره والوآقع المر ، والفرقآ ، وحرمآني هذآ قصيدي وگل غآيب معه عذره يمگن . حبيبي يشوف أسمي ويقرآني,في عآلم ال+شعر و+ال+أضوآء و+الشهره و+ال+وآقع ال+مر ، و+ال+فرقآ ، و+حرمآن+ي هذآ قصيد+ي و+گل غآيب مع+ه عذر+ه يمگن . حبيب+ي يشوف أسم+ي و+يقرآ+ني,PREP NOUN DET+NOUN CONJ+DET+NOUN CONJ+NOUN CONJ+DET+NOUN DET+NOUN PUNC CONJ+DET+NOUN PUNC CONJ+ADJ+PRON PRON NOUN+PRON CONJ+NOUN ADJ NOUN+PRON NOUN+PRON V PUNC NOUN+PRON V NOUN+PRON CONJ+V+PRON,23
Gulf,4A,اقفى . . و لكنہ ترك داخلي شي وانا تركت ( بداخلہ ) الف حاجہ مدري مصير الحي بيلاقي الحي و لا انا وياھ . . ! صعب انتواجہ,اقفى . . و لكن+ہ ترك داخل+ي شي و+انا ترك+ت ( ب+داخل+ہ ) الف حاج+ہ م+دري مصير ال+حي ب+يلاقي ال+حي و لا انا ويا+ھ . . ! صعب انتواج+ہ,V PUNC PUNC CONJ CONJ+PRON V NOUN+PRON NOUN CONJ+PRON V+PRON PUNC PREP+NOUN+PRON PUNC NUM NOUN+NSUFF PART+V NOUN DET+ADJ PREP+V DET+ADJ CONJ PART PRON NOUN+PRON PUNC PUNC PUNC ADJ V+PRON,29
Gulf,4A,60 : التويتس بتاعك جميل بعض تغريداتك تمثلني ، نفقدك اذا م شفناك ف تايم لاين وبس ? ? ? ?,60 : ال+تويتس بتاع+ك جميل بعض تغريد+ات+ك تمثل+ني ، نفقد+ك اذا م شف+نا+ك ف تايم لاين و+بس ? ? ? ?,NUM PUNC DET+NOUN NOUN+PRON ADJ NOUN NOUN+NSUFF+PRON V+PRON PUNC V+PRON PART PART V+PRON+PRON PREP NOUN NOUN CONJ+PART PUNC PUNC PUNC PUNC,21
Gulf,3B,". ما أبيك تسأل كيف أنا أغليك وشلون ؟ ! الحب كله فيك أنا أشوفه شوي "" يكفي أشوفك كل شي بهالكون "" ويكفي أشوف الكون دونك ولا شي "" .",". ما أبي+ك تسأل كيف أنا أغلي+ك وشلون ؟ ! ال+حب كل+ه في+ك أنا أشوف+ه شوي "" يكفي أشوف+ك كل شي ب+ه+ال+كون "" و+يكفي أشوف ال+كون دون+ك و+لا شي "" .",PUNC PART V+PRON V PART PRON ADJ+PRON PART PUNC PUNC DET+NOUN NOUN+NSUFF PREP+PRON PRON V+PRON ADJ PUNC V V+PRON NOUN NOUN PREP+PRON+DET+NOUN PUNC CONJ+V V DET+NOUN NOUN+PRON CONJ+PART NOUN PUNC PUNC,31
Gulf,3A,وجهك مو غريب علي ^ سعودي يبي يدخل بسالفة مع واحد ما يعرفه ? ?,وجه+ك مو غريب علي ^ سعود+ي يب+ي يدخل ب+سالف+ة مع واحد ما يعرف+ه ? ?,NOUN+PRON PART ADJ PREP PUNC NOUN+NSUFF V+PRON V PREP+NOUN+NSUFF NOUN NOUN PART V+PRON PUNC PUNC,15
Gulf,2A,انت الشعر وانت الفكر وانت المراد في غير حبي لك أناا مالي شؤون تبي الحقيقھ ه و العلم الوكاد يازين حبگ لو وصل حد الجنون ? ” Mالشمري,انت ال+شعر و+انت ال+فكر و+انت ال+مراد في غير حب+ي ل+ك أناا ما+ل+ي شؤون تب+ي ال+حقيق+ھ ه و ال+علم ال+وكاد يا+زين حب+گ لو وصل حد ال+جنون ? ” Mالشمري,PRON DET+NOUN CONJ+PRON DET+NOUN CONJ+PRON DET+NOUN PREP NOUN NOUN+PRON PREP+PRON PRON PART+PREP+PRON NOUN V+PRON DET+NOUN+NSUFF NSUFF CONJ DET+NOUN DET+ADJ PART+ADJ NOUN+PRON PART V NOUN DET+NOUN PUNC PUNC NOUN,28
